CustomerID,Name,Email,Age,SignupDate,Country,PurchaseAmount
1,Angela Merritt,barbaraarnold@example.com,56,2024-05-18,Grenada,9.53
2,Debra Peterson,mgarcia@example.com,45,2023-10-05,Cambodia,41.09
3,Alyssa Morgan,zlove@example.net,28,2022-01-10,Benin,47.3
4,Paula Collins,kenneth65@example.org,50,2024-05-26,Anguilla,231.45
5,Alexandra Bray,figueroajoyce@example.com,52,2024-09-18,Mexico,66.14
6,Michelle Miller,oross@example.org,48,2020-10-26,Palau,424.69
7,Matthew Bennett,jacob09@example.org,53,2023-10-31,Indonesia,27.59
8,Carol Miller,uharrison@example.net,46,2024-02-02,Saudi Arabia,21.06
9,Jennifer Haley,rebeccawilliams@example.net,52,2022-02-18,Brunei Darussalam,265.96
10,Melissa Barnett,alexandra56@example.org,48,2022-12-14,Uganda,158.25
11,Ryan Allen,laurencarpenter@example.com,19,2025-03-24,Portugal,62.65
12,Jesus Morgan,gbutler@example.com,53,2023-02-20,Palestinian Territory,224.27
13,Emily Reynolds,jessicacooley@example.net,57,2023-04-28,Taiwan,40.35
14,Melissa Walters,melissa15@example.com,24,2021-03-28,Mozambique,22.57
15,Donna Lopez,emily90@example.org,18,2024-11-07,Guam,17.14
16,Matthew Morrow,hubbardcraig@example.com,45,2023-08-11,Senegal,17.25
17,Yvonne Lowe,burnsnicole@example.org,59,2020-11-03,Bahrain,123.41
18,Justin Holmes,wnelson@example.net,63,2024-09-18,Azerbaijan,226.36
19,Sherry Moon,anna24@example.org,53,2025-07-20,Solomon Islands,108.23
20,Christina Collins,maureen46@example.com,42,2023-11-28,Tuvalu,15.52
21,Jason Elliott,juliekelly@example.org,42,2022-08-05,Micronesia,30.31
22,James Austin,bartonjennifer@example.org,69,2023-11-01,Cyprus,18.85
23,Scott Johnson,christopherjuarez@example.com,56,2025-01-28,Korea,0.47
24,Kenneth Garcia,lewistiffany@example.net,27,2020-11-04,Greece,353.96
25,Matthew Parker,michaelharrison@example.com,38,2022-04-25,Norway,51.88
26,Ashley Meyers,laura66@example.com,19,2024-06-08,Iceland,57.48
27,Gregory Wilson,flynch@example.com,49,2023-06-20,Korea,75.51
28,Maria Smith,spencestacy@example.com,41,2021-04-12,Pitcairn Islands,297.17
29,Jackie Todd,haley28@example.com,53,2024-04-26,Iran,27.95
30,Nathan Thomas,sharongriffin@example.com,33,2020-11-16,Kenya,132.3
31,Daniel Lopez,williamsrobert@example.org,67,2025-06-15,Chad,261.17
32,Dr. Alex Wong,leahzimmerman@example.com,64,2021-02-18,South Georgia and the South Sandwich Islands,215.18
33,Daniel Wilson,navarrosteven@example.net,45,2024-12-18,Seychelles,133.28
34,Jacob Haney,jennifer85@example.org,63,2024-11-28,Mali,316.64
35,Claudia Lopez,mgray@example.net,27,2023-01-29,Kenya,113.71
36,Darryl Thomas,heatherhood@example.net,57,2023-05-12,Gabon,139.35
37,Alan Martinez,torresmatthew@example.net,54,2023-09-18,Iceland,388.91
38,Tracy Duncan,romeropamela@example.org,63,2024-10-20,Paraguay,63.53
39,Todd Barton,huffchad@example.com,32,2021-02-13,Lao People's Democratic Republic,106.11
40,Michelle Kramer,jamesrobinson@example.com,33,2021-12-28,Belize,203.88
41,Deborah Green,charlesjordan@example.org,33,2024-08-11,El Salvador,32.86
42,Aaron Brewer,caldwelldonald@example.org,57,2023-09-03,Honduras,110.54
43,Christina Gomez,matthew85@example.com,65,2021-08-10,El Salvador,112.18
